unique_id,type_id,region,city,type,biome,ecosystem,service,subservice,method,value_type,query_values_rounded,query_values,query_unit,currency,notes,status,scale,location_name,income_gorup,region_type,pop_density,continent,lat,lon,year,service_area,county,authors,research_year,research_title,research_ref
41,B111,Puerto Rico,Aguadilla,Regulating Services,Inland Wetlands,Floodplains,Water flows,Water regulation [unspecified],Benefit Transfer,Annual,$378.81,378.81,USD/ha/yr,USD,"Calculated from Costanza et al., 1997 and Costanza et al., 1998, Abdon et al., 1998 and Silva et al., 1998",Upper Middle Income,Low density,Partially protected,"Pantanal da Nhecolandia, Brazil",Province / Region,South America,Latin America and the Caribbean," 19°14'59.60""S"," 57° 1'45.66""W",1994,2692100,Brazil,"Seidl, A.F. and A.S. Moraes",2000,"Global valuation of ecosystem services: application to the Pantanal da Nhecolandia, Brazil. Ecological Economics 33(1): 1-6.","Seidl, A.F. and A.S. Moraes (2000) Global valuation of ecosystem services: application to the Pantanal da Nhecolandia, Brazil. Ecological Economics 33(1): 1-6."
42,B111,Puerto Rico,Aguadilla,Regulating Services,Tropical Forest,Tropical rain forests,Water flows,Water regulation [unspecified],PES,Annual,$27.30,27.3,USD/ha/yr,USD,Payments for preservation of cloud forests for their watershade value;  for other forest - 18.2USD/ha/year,Upper Middle Income,Low density,Partially protected,"Cloud Forests, Mexico",Province / Region,Central America,Latin America and the Caribbean, 19°00'N, 99°00'W,2008,1823640,Mexico,"Perrot-Maître, D. and P. Davis",2001,"Case studies of markets and innovative financial mechanisms for water services from forests. Forest Trends, working paper.","Perrot-Maître, D. and P. Davis (2001) Case studies of markets and innovative financial mechanisms for water services from forests. Forest Trends, working paper."
43,B111,Puerto Rico,Aguadilla,Regulating Services,Urban,Urban greenspace,Water flows,Water regulation [unspecified],Benefit Transfer,Annual,$15.00,15,USD/ha/yr,USD,urban large green space only; no buildings etc,High Income: (OECD),Low density,Partially protected,"Catalonia, Spain",Province / Region,Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,1848,Spain,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
44,C102,Puerto Rico,Aguadilla,Habitat Services,Coral Reefs,Coral reefs,Genepool,Biodiversity protection,Contingent Valuation,Annual,"$45,907.00",45907,USD/ha/yr,USD,,Upper Middle Income,High density,Partially protected,"Montego Bay, Jamaica, Carribean",Local,Caribbean,Latin America and the Caribbean, 18°46'66.67''N, 77°93'33.33''W,1999,,,"Ruitenbeek, J. and C. Cartier",1999,"Issues in applied coral reef biodiversity valuation: results for Montego Bay, Jamaica. World Bank Research Committee Project RPO# 682-22. World Bank, Washington, D.C., USA.","Ruitenbeek, J. and C. Cartier (1999) Issues in applied coral reef biodiversity valuation: results for Montego Bay, Jamaica. World Bank Research Committee Project RPO# 682-22. World Bank, Washington, D.C., USA."
45,C102,Puerto Rico,Aguadilla,Habitat Services,Inland Wetlands,Wetlands [unspecified],Genepool,Biodiversity protection,Benefit Transfer,Annual,$214.00,214,USD/ha/yr,USD,,No data available,Low density,Partially protected,Global,Global,World,World,,,2000,63000000,,"Schuyt, K. and L. Brander",2004,"Living waters: conserving the source of life. The economic values of the world’s wetlands. Gland, Switzerland: WWF International and Amsterdam: Institute for Environmental Studies.","Schuyt, K. and L. Brander (2004) Living waters: conserving the source of life. The economic values of the world’s wetlands. Gland, Switzerland: WWF International and Amsterdam: Institute for Environmental Studies."
46,C102,Puerto Rico,Aguadilla,Habitat Services,Multiple Ecosystems,Multiple ecosystems,Genepool,Biodiversity protection,Benefit Transfer,Annual,$100.00,100,USD/ha/yr,USD,Original data source: Cesar et al. 2000; Based on the available  fund from NGOs to  protect the biodiverse resources,Upper Middle Income,High density,Protected,"Portland Bight Protected Area, Carribean",Province / Region,Caribbean,Latin America and the Caribbean," 17°50'8.31""N"," 77° 9'59.59""W",2000,20000,,"Cesar, H. and C.K. Chong",2004,Economic valuation and socioeconomics of coral feefs: methodological issues and three case studies. Wildfish Center Contribution No. 1721.,"Cesar, H. and C.K. Chong (2004) Economic valuation and socioeconomics of coral feefs: methodological issues and three case studies. Wildfish Center Contribution No. 1721."
47,C102,Puerto Rico,Aguadilla,Habitat Services,Tropical Forest,Tropical forest general,Genepool,Biodiversity protection,Group Valuation,Annual,$29.04,29.04,USD/ha/yr,USD,,No data available,Low density,Partially protected,Global,Global,World,World,,,2000,44515421,World,"Kramer, R.A., N.P. Sharma and M. Munashinghe",1995,Valuing tropical forests: Methodology and case study of Madagascar. World Bank Environment Paper 13.,"Kramer, R.A., N.P. Sharma and M. Munashinghe (1995) Valuing tropical forests: Methodology and case study of Madagascar. World Bank Environment Paper 13."
48,D101,Puerto Rico,Aguadilla,Cultural Services,Coral Reefs,Coral reefs,Aesthetic,Attractive landscapes,Benefit Transfer,Annual,$3.87,3.87,USD/ha/yr,USD,Original source of value estimated- Costanza et al. (1997),Lower Middle Income,Low density,Partially protected,Samoa,Country,Polynesia,Oceania," 13°45'32.50""S","172° 6'16.66""W",2000,6898,,"Mohd-Shahwahid, H.O. and R. McNally",2001,"The Terrestrial and Marin Resources of Samoa. Universiti Putra Malaysia, Malaysia.","Mohd-Shahwahid, H.O. and R. McNally (2001) The Terrestrial and Marin Resources of Samoa. Universiti Putra Malaysia, Malaysia."
49,D101,Puerto Rico,Aguadilla,Cultural Services,Coral Reefs,Coral reefs,Aesthetic,Attractive landscapes,Direct market pricing,Annual,"$22,825.67",22825.6720375557,USD/ha/yr,USD,,High Income: (OECD),Low density,Partially protected,"Kihei Coast Maui, Hawaii, USA",Local,Northern America,Americas," 20°47'1.41""N","156°27'23.17""W",2000,800,,"Cesar, H., P. van Beukering, S. Pintz and J. Dierking",2002,"Economic valuation of the coral reefs of Hawaii. Report for NOAA. Cesar Environmental Economics Consulting. Arnhem, the Netherlands.","Cesar, H., P. van Beukering, S. Pintz and J. Dierking (2002) Economic valuation of the coral reefs of Hawaii. Report for NOAA. Cesar Environmental Economics Consulting. Arnhem, the Netherlands."
50,D101,Puerto Rico,Aguadilla,Cultural Services,Inland Wetlands,Swamps / marshes,Aesthetic,Attractive landscapes,Hedonic Pricing,Annual,$83.22,83.22,USD/ha/yr,USD,,High Income: (OECD),Low density,Unknown,"Great Lakes Coastal Wetlands, USA",Province / Region,Northern America,Americas,,,2007,,United States of America,"Amacher, G.S., R.J. Brazee, J.W. Bulkley and R.A. Moll",1989,"Application of Wetland Valuation Techniques: Examples from Great Lakes Coastal Wetlands. University of Michigan, School of Natural Resources","Amacher, G.S., R.J. Brazee, J.W. Bulkley and R.A. Moll (1989) Application of Wetland Valuation Techniques: Examples from Great Lakes Coastal Wetlands. University of Michigan, School of Natural Resources"
51,D101,Puerto Rico,Aguadilla,Cultural Services,Marine,Open ocean,Aesthetic,Attractive landscapes,Hedonic Pricing,Annual (Range),$76.00,76,USD/ha/yr,USD,Value has been calculated in Costanza1997 - primary notes,No data available,Low density,Partially protected,Global,Global,World,World,,,1994,36302000000,,"Costanza, R., R. d'Arge,  R. de Groot,  S. Farber, M. Grasso, B. Hannon, K. Limburg, S. Naeem, R.V. O'Neill, J. Paruel, R.G. Raskin, P. Sutton and M. van den Belt",1997,The value of the world's ecosystem service and natural capital. Nature 387: 253-260.,"Costanza, R., R. d'Arge,  R. de Groot,  S. Farber, M. Grasso, B. Hannon, K. Limburg, S. Naeem, R.V. O'Neill, J. Paruel, R.G. Raskin, P. Sutton and M. van den Belt (1997) The value of the world's ecosystem service and natural capital. Nature 387: 253-260."
52,D106,Puerto Rico,Aguadilla,Cultural Services,Coral Reefs,Coral reefs,Cognitive,Education,Direct market pricing,Annual,"$5,365.67",5365.66958077993,USD/ha/yr,USD,,High Income: (OECD),Low density,Partially protected,"Hanauma Bay, Oahu, Hawaii, USA",Local,Northern America,Americas," 21°27'34.63""N","157°48'13.24""W",2000,41,,"Cesar, H., P. van Beukering, S. Pintz and J. Dierking",2002,"Economic valuation of the coral reefs of Hawaii. Report for NOAA. Cesar Environmental Economics Consulting. Arnhem, the Netherlands.","Cesar, H., P. van Beukering, S. Pintz and J. Dierking (2002) Economic valuation of the coral reefs of Hawaii. Report for NOAA. Cesar Environmental Economics Consulting. Arnhem, the Netherlands."
53,D105,Puerto Rico,Aguadilla,Cultural Services,Coastal,Estuaries,Cognitive,Science / Research,Direct market pricing,Annual (Range),$16.00,16,USD/ha/yr,USD,,High Income: (OECD),High density,Partially protected,"Dutch Wadden Sea, the Netherlands",Landscape / district,Western Europe,Europe," 53°14'9.77""N","  5°18'59.11""E",1990,270000,,"De Groot, R.",1992,"Functions of nature: evaluation of nature in environmental planning, management, and decision making. Wolters-Noordhoff, Groningen, the Netherlands, 315pp.","De Groot, R. (1992) Functions of nature: evaluation of nature in environmental planning, management, and decision making. Wolters-Noordhoff, Groningen, the Netherlands, 315pp."
54,D105,Puerto Rico,Aguadilla,Cultural Services,Coral Reefs,Coral reefs,Cognitive,Science / Research,Benefit Transfer,Annual,$34.99,34.99,USD/ha/yr,USD,,No data available,High density,Partially protected,Caribbean,Region,Caribbean,Latin America and the Caribbean, 18°00'N, 72°00'W,2003,,Caribbean,"Chong, C.K., M. Ahmed and H. Balasubramanian",2003,Economic valuation of coral reefs at the Caribbean: literature review and estimation using meta-analysis. Paper presented at the Second International Tropical Marine Ecosystems Management Symposium.,"Chong, C.K., M. Ahmed and H. Balasubramanian (2003) Economic valuation of coral reefs at the Caribbean: literature review and estimation using meta-analysis. Paper presented at the Second International Tropical Marine Ecosystems Management Symposium."
55,D103,Puerto Rico,Aguadilla,Cultural Services,Coastal,Shores,Cultural service [general],Cultural values [unspecified],Benefit Transfer,Annual,$59.00,59,USD/ha/yr,USD,"total area of the coastal zone of catalonia is 922,892ha",High Income: (OECD),Low density,Partially protected,"Catalonia, Spain",Province / Region,Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,4098,Spain,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
56,D103,Puerto Rico,Aguadilla,Cultural Services,Inland Wetlands,Floodplains,Inspiration,Cultural use,Benefit Transfer,Annual,$425.13,425.13,USD/ha/yr,USD,"Calculated from Costanza et al., 1997 and Costanza et al., 1998, Abdon et al., 1998 and Silva et al., 1998",Upper Middle Income,Low density,Partially protected,"Pantanal da Nhecolandia, Brazil",Province / Region,South America,Latin America and the Caribbean," 19°14'59.60""S"," 57° 1'45.66""W",1994,2692100,,"Seidl, A.F. and A.S. Moraes",2000,"Global valuation of ecosystem services: application to the Pantanal da Nhecolandia, Brazil. Ecological Economics 33(1): 1-6.","Seidl, A.F. and A.S. Moraes (2000) Global valuation of ecosystem services: application to the Pantanal da Nhecolandia, Brazil. Ecological Economics 33(1): 1-6."
57,D103,Puerto Rico,Aguadilla,Cultural Services,Coral Reefs,Coral reefs,Inspiration,Inspiration [unspecified],Benefit Transfer,Annual,$0.87,0.87,USD/ha/yr,USD,Value has been calculated in Costanza1997 - primary notes,No data available,Low density,Partially protected,Global,Global,World,World,,,1994,62000000,,"Costanza, R., R. d'Arge,  R. de Groot,  S. Farber, M. Grasso, B. Hannon, K. Limburg, S. Naeem, R.V. O'Neill, J. Paruel, R.G. Raskin, P. Sutton and M. van den Belt",1997,The value of the world's ecosystem service and natural capital. Nature 387: 253-260.,"Costanza, R., R. d'Arge,  R. de Groot,  S. Farber, M. Grasso, B. Hannon, K. Limburg, S. Naeem, R.V. O'Neill, J. Paruel, R.G. Raskin, P. Sutton and M. van den Belt (1997) The value of the world's ecosystem service and natural capital. Nature 387: 253-260."
58,D102,Puerto Rico,Aguadilla,Cultural Services,Inland Wetlands,Floodplains,Recreation,Recreation,Contingent Valuation,Annual,$324.09,324.091349480969,USD/ha/yr,USD,"Value has been validated in Costanza. Only Constanza value known, information on original value unknown/not assessed/checked.",High Income: (OECD),Low density,Partially protected,USA,Country,Northern America,Americas, 37°00'N, 95°00'W,1994,,,"Lant, C.L. and R.S. Roberts",1990,"Greenbelts in the cornbelt: riparian wetlands, instrinsic values and market failure. Environment and Planning A 22(10): 1375-1388.","Lant, C.L. and R.S. Roberts (1990) Greenbelts in the cornbelt: riparian wetlands, instrinsic values and market failure. Environment and Planning A 22(10): 1375-1388."
59,D102,Puerto Rico,Aguadilla,Cultural Services,Tropical Forest,Tropical forest general,Recreation,Recreation,Benefit Transfer,Annual (Range),$236.00,236,USD/ha/yr,USD,"values are not from 2001 but a mix of all studies, no standardization",No data available,Low density,Partially protected,Global,Global,World,World,,,2001,1341900000,World,Secretariat of the Convention on Biological Diversity,2001,"Value of forest ecosystems. CBD Technical Series No 4. SCBD, Montreal, Canada, 67pp.","Secretariat of the Convention on Biological Diversity (2001) Value of forest ecosystems. CBD Technical Series No 4. SCBD, Montreal, Canada, 67pp."
60,D102,Puerto Rico,Aguadilla,Cultural Services,Urban,Urban greenspace,Recreation,Recreation,Benefit Transfer,Annual,"$5,266.00",5266,USD/ha/yr,USD,urban large green space only; no buildings etc,High Income: (OECD),Low density,Partially protected,"Catalonia, Spain",Province / Region,Southern Europe,Europe," 41°35'28.17""N","  1°31'15.10""E",2004,1848,Spain,"Brenner-Guillermo, J.",2007,"Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia.","Brenner-Guillermo, J. (2007) Valuation of ecosystem services in the Catalan coastal zone. Marine Sciences, Polytechnic University of Catalonia."
61,D102,Puerto Rico,Aguadilla,Cultural Services,Coastal,Shores,Recreation,Tourism,Direct market pricing,Annual,$179.39,179.38942479457,USD/ha/yr,USD,Direct net benefits from tourism comprise 32% and Indirect net benefits from tourism consist of revenues from restaurants and hotels.,Lower Middle Income,High density,Partially protected,"Bohol Marine Triangle, Philippines",Landscape / district,South-Eastern Asia,Asia,"  9°34'23.31""N","123°45'46.61""E",2004,5598,,"Samonte-Tan, G.P.B.,  A. T. White, M. A. Tercero, J. Diviva, E. Tabara and C. Caballes",2007,"Economic Valuation of Coastal and Marine Resources: Bohol Marine Triangle, Philippines. Costal Management 35(2): 319-338.","Samonte-Tan, G.P.B.,  A. T. White, M. A. Tercero, J. Diviva, E. Tabara and C. Caballes (2007) Economic Valuation of Coastal and Marine Resources: Bohol Marine Triangle, Philippines. Costal Management 35(2): 319-338."
62,D102,Puerto Rico,Aguadilla,Cultural Services,Coral Reefs,Coral reefs,Recreation,Tourism,Benefit Transfer,Annual,"$34,664.83",34664.83,USD/ha/yr,USD,,No data available,High density,Partially protected,Caribbean,Region,Caribbean,Latin America and the Caribbean, 18°00'N, 72°00'W,2003,,Caribbean,"Chong, C.K., M. Ahmed and H. Balasubramanian",2003,Economic valuation of coral reefs at the Caribbean: literature review and estimation using meta-analysis. Paper presented at the Second International Tropical Marine Ecosystems Management Symposium.,"Chong, C.K., M. Ahmed and H. Balasubramanian (2003) Economic valuation of coral reefs at the Caribbean: literature review and estimation using meta-analysis. Paper presented at the Second International Tropical Marine Ecosystems Management Symposium."
63,D102,Puerto Rico,Aguadilla,Cultural Services,Marine,Marine [unspecified],Recreation,Tourism,Contingent Valuation,Annual,$0.42,0.42,USD/ha/yr,USD,The estimated value was not inclued value from domestic visitors.,Lower Middle Income,Low density,Partially protected,Samoa,Country,Polynesia,Oceania," 13°45'32.50""S","172° 6'16.66""W",2000,1295751,,"Mohd-Shahwahid, H.O. and R. McNally",2001,"The Terrestrial and Marin Resources of Samoa. Universiti Putra Malaysia, Malaysia.","Mohd-Shahwahid, H.O. and R. McNally (2001) The Terrestrial and Marin Resources of Samoa. Universiti Putra Malaysia, Malaysia."
64,D104,Puerto Rico,Aguadilla,Cultural Services,Coastal,Estuaries,Spiritual,Spiritual / Religious use,Contingent Valuation,Annual,$15.00,15,USD/ha/yr,USD,,High Income: (OECD),High density,Partially protected,"Dutch Wadden Sea, the Netherlands",Landscape / district,Western Europe,Europe," 53°14'9.77""N","  5°18'59.11""E",1990,270000,,"De Groot, R.",1992,"Functions of nature: evaluation of nature in environmental planning, management, and decision making. Wolters-Noordhoff, Groningen, the Netherlands, 315pp.","De Groot, R. (1992) Functions of nature: evaluation of nature in environmental planning, management, and decision making. Wolters-Noordhoff, Groningen, the Netherlands, 315pp."
